icao,name,hex,source,group,note
AAH,Aloha Air Cargo,83BF37,brand,,logo file https://upload.wikimedia.org/wikipedia/commons/a/ae/Aloha_Air_Cargo_Logo.svg
AAL,American Airlines,0078D2,simple-icons,,
AAR,Asiana Airlines,A51C30,livery,,red and grey speedwing
AAW,Afriqiyah Airways,3E96D9,brand,,logo file https://upload.wikimedia.org/wikipedia/en/1/1a/Afriqiyah_Airways_logo.svg
AAY,Allegiant Air,00447C,livery,,navy titles with an orange sunburst
ABB,Air Belgium,E30613,brand,,logo file https://upload.wikimedia.org/wikipedia/commons/0/0b/Air_Belgium_Logo_%282016%29.svg
ABL,Air Busan,1E409A,brand,,logo file https://upload.wikimedia.org/wikipedia/commons/0/01/Air_Busan_logo.svg
ABQ,Airblue,252F86,brand,,logo file https://upload.wikimedia.org/wikipedia/commons/f/fb/Airblue_Logo.svg
ABW,AirBridgeCargo,0057A5,livery,,blue titles
ABX,ABX Air,D13239,brand,,logo file https://upload.wikimedia.org/wikipedia/en/e/e1/Logo_ABX_Air.svg
ABY,Air Arabia,ED1B48,brand,,logo file https://upload.wikimedia.org/wikipedia/commons/8/84/Air_Arabia_logo_2018.svg
ACA,Air Canada,F01428,simple-icons,,
ACI,Aircalin,004A8F,brand,,logo file https://upload.wikimedia.org/wikipedia/en/9/95/Aircalin_logo.svg
ACP,Astral Aviation,D71F41,brand,,logo file https://upload.wikimedia.org/wikipedia/en/3/34/Astral_Aviation_logo.svg
ADY,Air Arabia Abu Dhabi,ED1B48,brand,ABY,Air Arabia house livery
AEA,Air Europa,2D69E1,brand,,theme-color  mask-icon  manifest and --ae-color-primary agree on aireuropa.com
AEE,Aegean Airlines,005BAA,livery,,blue titles and tail
AEZ,Aeroitalia,328040,brand,,logo file https://upload.wikimedia.org/wikipedia/commons/c/ca/Logo-aeroitalia.svg
AFG,Ariana Afghan Airlines,197EF2,brand,,airline logo on Wikipedia
AFL,Aeroflot,02458D,simple-icons,,
AFR,Air France,002157,simple-icons,,
AHK,Air Hong Kong,FFCC00,livery,BCS,DHL European Air Transport house livery
AHY,Azerbaijan Airlines,003366,brand,,logo file https://upload.wikimedia.org/wikipedia/en/4/4d/Azerbaijan_Airlines_logo.svg
AIC,Air India,DA0E29,simple-icons,,
AIQ,Thai AirAsia,FF0000,simple-icons,AXM,AirAsia house livery
